dense_code_dm1 rc=0 t0=1778367685.477371744 t_end=1778367721.793818783
dense_creative_dm1 rc=0 t0=1778367721.794931126 t_end=1778367733.839192846
moe_code_dm1 rc=0 t0=1778367733.840091813 t_end=1778367763.015678232
moe_creative_dm1 rc=0 t0=1778367763.016548568 t_end=1778367770.721033915
dense_code_dm2 rc=0 t0=1778367770.721930366 t_end=1778367804.913462950
dense_creative_dm2 rc=0 t0=1778367804.914387847 t_end=1778367834.214837479
moe_code_dm2 rc=0 t0=1778367834.215866999 t_end=1778367857.752659489
moe_creative_dm2 rc=0 t0=1778367857.753545947 t_end=1778367867.924493190
dense_code_dm4 rc=0 t0=1778367867.925434008 t_end=1778367901.569052028
dense_creative_dm4 rc=0 t0=1778367901.569960746 t_end=1778367920.117962771
moe_code_dm4 rc=0 t0=1778367920.118900624 t_end=1778367947.287365095
moe_creative_dm4 rc=0 t0=1778367947.288422676 t_end=1778367963.304656030
dense_code_dm8 rc=0 t0=1778367963.306052952 t_end=1778367997.821679914
dense_creative_dm8 rc=0 t0=1778367997.822956270 t_end=1778368014.457833242
moe_code_dm8 rc=0 t0=1778368014.458888628 t_end=1778368042.161315417
moe_creative_dm8 rc=0 t0=1778368042.162586106 t_end=1778368053.575751597
dense_code_dm16 rc=0 t0=1778368053.576573194 t_end=1778368087.362434340
dense_creative_dm16 rc=0 t0=1778368087.363372540 t_end=1778368101.830030550
moe_code_dm16 rc=0 t0=1778368101.830961459 t_end=1778368129.087987475
moe_creative_dm16 rc=0 t0=1778368129.088904976 t_end=1778368140.797896926
dense_code_dm32 rc=0 t0=1778368140.798771797 t_end=1778368175.493668623
dense_creative_dm32 rc=0 t0=1778368175.494866194 t_end=1778368194.244521868
moe_code_dm32 rc=0 t0=1778368194.245404463 t_end=1778368221.950156586
moe_creative_dm32 rc=0 t0=1778368221.951272113 t_end=1778368239.295198724
